auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.4	snowflake-arctic-embed	llama3.1	100.0%	100.0%	50.0%	10.52
0.6	snowflake-arctic-embed	llama3.1	100.0%	100.0%	50.0%	10.49
0.8	snowflake-arctic-embed	llama3.1	100.0%	100.0%	50.0%	10.5
1.0	snowflake-arctic-embed	llama3.1	50.0%	50.0%	50.0%	10.44
0.0	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	4.0
0.2	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	0.45
0.4	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	0.44
0.6	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	0.41
0.8	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	0.41
1.0	snowflake-arctic-embed	llama3.2	0.0%	0.0%	50.0%	0.41
0.0	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	14.55
0.2	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	10.06
0.4	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	10.29
0.6	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	9.9
0.8	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	9.98
1.0	snowflake-arctic-embed	codellama	0.0%	0.0%	50.0%	9.96
0.0	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	1.74
0.2	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	0.4
0.4	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	0.49
0.6	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	0.68
0.8	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	0.51
1.0	snowflake-arctic-embed	tinyllama	0.0%	0.0%	50.0%	0.46
0.0	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	10.66
0.2	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	4.52
0.4	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	0.52
0.6	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	0.56
0.8	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	0.53
1.0	snowflake-arctic-embed	phi3		0.0%	0.0%	50.0%	0.81
0.0	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	29.12
0.2	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	17.8
0.4	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	17.83
0.6	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	17.77
0.8	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	17.77
1.0	snowflake-arctic-embed	phi4		0.0%	0.0%	50.0%	17.52
0.0	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	4.59
0.2	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	1.47
0.4	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	0.87
0.6	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	0.69
0.8	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	0.82
1.0	snowflake-arctic-embed	qwen		0.0%	0.0%	50.0%	1.14
0.0	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	15.7
0.2	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	10.39
0.4	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	10.37
0.6	snowflake-arctic-embed	qwen2		0.0%	0.0%	50.0%	10.35
